"who","purchase.no","touchpoint.1","touchpoint.2","touchpoint.3","touchpoint.4","touchpoint.5","touchpoint.6","touchpoint.7","touchpoint.8","touchpoint.9","touchpoint.10","touchpoint.11","touchpoint.12","touchpoint.13","touchpoint.14","touchpoint.15","touchpoint.16","touchpoint.17","touchpoint.18","touchpoint.19","touchpoint.20","touchpoint.21","touchpoint.22","touchpoint.23"
0,0,"instagram","tv","tv","radio","instagram","printed","radio","email","instagram","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,"tv","tv","email","facebook","printed","instagram","email","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,"email","youtube","search","instagram","facebook","printed","instagram","email","twitter","search","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,3,"search","youtube","tv","printed","twitter","printed","search","youtube","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,4,"instagram","radio","youtube","search","tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,"radio","search","youtube","printed","search","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,"tv","printed","instagram","email","twitter","search","youtube","printed","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,"youtube","tv","twitter","email","instagram","printed","email","twitter","search","youtube","search","tv","email","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA
1,3,"radio","third-party","search","printed","search","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,"radio","instagram","facebook","printed","instagram","third-party","twitter","search","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,"tv","search","printed","third-party","twitter","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,"search","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,"radio","email","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,"youtube","tv","tv","search","instagram","instagram","email","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,"youtube","tv","tv","search","instagram","facebook","instagram","email","search","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,"tv","radio","radio","third-party","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,"twitter","radio","email","search","printed","email","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,"radio","instagram","instagram","email","search","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,"search","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0,"printed","email","search","printed","email","youtube","tv","email","facebook","facebook","twitter","search","search","tv","twitter","radio","converted",NA,NA,NA,NA,NA,NA
3,1,"instagram","facebook","radio","facebook","search","search","youtube","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,"search","facebook","instagram","facebook","search","youtube","printed","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,"tv","twitter","search","facebook","instagram","email","search","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,"search","youtube","tv","radio","instagram","radio","third-party","search","tv","twitter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0,"email","search","youtube","printed","email","youtube","tv","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,"instagram","printed","radio","third-party","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,"youtube","tv","search","instagram","instagram","email","search","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,"search","tv","twitter","facebook","printed","instagram","facebook","twitter","search","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,"email","youtube","tv","twitter","search","instagram","printed","instagram","twitter","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,"search","tv","tv","radio","instagram","instagram","facebook","twitter","search","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,6,"search","tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0,"printed","twitter","search","youtube","printed","search","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,"search","facebook","radio","third-party","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2,"youtube","tv","tv","search","instagram","facebook","printed","instagram","email","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,"search","youtube","tv","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,"printed","third-party","youtube","printed","email","tv","twitter","radio","printed","instagram","youtube","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,"tv","email","instagram","radio","search","printed","search","youtube","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0,"instagram","email","twitter","search","youtube","printed","search","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,"tv","email","instagram","facebook","printed","radio","email","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2,"tv","tv","radio","email","youtube","instagram","email","tv","tv","facebook","printed","instagram","facebook","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA
6,3,"printed","search","tv","radio","facebook","printed","radio","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,4,"twitter","search","instagram","search","youtube","tv","tv","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5,"instagram","facebook","twitter","youtube","printed","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,"tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0,"printed","radio","email","printed","search","tv","tv","radio","printed","instagram","email","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,"printed","search","youtube","tv","search","instagram","printed","instagram","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2,"email","youtube","third-party","radio","printed","radio","facebook","search","search","tv","email","instagram","search","youtube","printed","email","youtube","converted",NA,NA,NA,NA,NA
7,3,"tv","search","instagram","facebook","printed","email","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,4,"youtube","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0,"printed","instagram","search","youtube","printed","email","tv","search","instagram","twitter","printed","email","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA
8,1,"search","third-party","search","youtube","instagram","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2,"tv","radio","printed","radio","email","search","youtube","twitter","radio","instagram","printed","instagram","third-party","printed","search","converted",NA,NA,NA,NA,NA,NA,NA
8,3,"youtube","tv","hoarding","radio","twitter","search","youtube","search","tv","twitter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0,"printed","email","youtube","tv","tv","search","printed","instagram","twitter","youtube","instagram","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,"youtube","tv","third-party","search","printed","email","twitter","search","youtube","search","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2,"tv","radio","facebook","printed","email","search","printed","email","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,3,"tv","tv","search","instagram","printed","instagram","third-party","search","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,4,"tv","tv","radio","instagram","email","twitter","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,5,"facebook","youtube","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0,"third-party","youtube","instagram","search","tv","tv","search","facebook","instagram","email","twitter","youtube","printed","tv","search","converted",NA,NA,NA,NA,NA,NA,NA
10,1,"printed","third-party","search","instagram","email","tv","tv","search","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2,"facebook","radio","twitter","search","youtube","instagram","email","tv","tv","email","printed","instagram","facebook","twitter","printed","converted",NA,NA,NA,NA,NA,NA,NA
10,3,"search","youtube","tv","email","instagram","printed","radio","email","twitter","printed","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4,"tv","twitter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0,"printed","instagram","email","printed","tv","tv","radio","instagram","facebook","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,"instagram","email","youtube","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2,"youtube","tv","tv","email","instagram","printed","instagram","email","twitter","instagram","hoarding","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,3,"instagram","facebook","instagram","third-party","twitter","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,4,"email","youtube","tv","search","instagram","search","search","tv","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,5,"facebook","instagram","twitter","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,6,"youtube","tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0,"printed","instagram","email","printed","search","tv","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,"facebook","printed","radio","email","email","tv","tv","search","instagram","printed","instagram","search","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA
12,2,"search","youtube","tv","twitter","search","facebook","printed","instagram","email","twitter","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,3,"printed","search","tv","tv","radio","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4,"printed","instagram","hoarding","youtube","printed","email","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,5,"email","instagram","printed","instagram","third-party","search","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6,"search","tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0,"third-party","twitter","search","youtube","tv","tv","email","instagram","radio","email","twitter","search","search","tv","search","converted",NA,NA,NA,NA,NA,NA,NA
13,1,"instagram","printed","instagram","third-party","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2,"tv","search","facebook","printed","instagram","third-party","search","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,3,"facebook","youtube","tv","tv","radio","email","search","youtube","search","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4,"search","facebook","instagram","email","search","youtube","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0,"printed","radio","third-party","twitter","printed","search","youtube","twitter","search","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,"instagram","facebook","twitter","search","printed","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2,"tv","tv","search","printed","radio","facebook","twitter","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,3,"youtube","tv","twitter","email","printed","radio","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,4,"tv","search","facebook","printed","radio","email","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,5,"search","tv","tv","search","instagram","radio","twitter","search","youtube","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,6,"tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0,"printed","email","search","youtube","printed","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,"tv","tv","radio","facebook","printed","search","printed","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,"tv","third-party","search","facebook","printed","instagram","email","twitter","instagram","facebook","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,"radio","instagram","facebook","instagram","email","search","email","tv","search","instagram","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,4,"tv","email","instagram","printed","instagram","email","twitter","search","youtube","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,5,"tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0,"printed","instagram","email","search","printed","email","youtube","tv","tv","email","facebook","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,"printed","instagram","email","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2,"tv","tv","radio","instagram","facebook","instagram","email","search","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3,"search","tv","tv","radio","instagram","radio","email","search","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4,"tv","twitter","instagram","printed","third-party","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,5,"tv","tv","search","instagram","third-party","twitter","youtube","email","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0,"radio","email","twitter","search","youtube","instagram","search","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,"facebook","printed","instagram","email","printed","youtube","tv","tv","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2,"instagram","printed","radio","email","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3,"tv","tv","search","radio","email","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,4,"search","tv","email","radio","email","twitter","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,5,"email","youtube","tv","tv","email","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,6,"printed","radio","email","search","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0,"instagram","email","twitter","printed","search","youtube","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,"radio","instagram","facebook","instagram","email","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2,"email","youtube","tv","tv","search","printed","radio","third-party","search","printed","email","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,3,"tv","tv","search","instagram","instagram","facebook","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,4,"youtube","tv","tv","search","instagram","printed","instagram","email","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,5,"search","tv","tv","radio","instagram","facebook","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,6,"twitter","youtube","search","hoarding","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0,"printed","instagram","email","twitter","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,"tv","radio","instagram","third-party","search","instagram","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2,"tv","third-party","search","instagram","printed","radio","email","twitter","search","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,3,"tv","tv","search","instagram","instagram","email","search","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,4,"search","tv","radio","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,5,"facebook","printed","radio","email","search","youtube","search","tv","email","search","printed","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,6,"tv","twitter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0,"printed","radio","email","twitter","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,"youtube","tv","tv","radio","instagram","printed","instagram","email","twitter","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2,"search","tv","email","instagram","facebook","printed","instagram","email","search","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,3,"youtube","tv","tv","radio","facebook","printed","radio","facebook","search","tv","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,4,"facebook","radio","email","search","youtube","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,5,"youtube","third-party","search","facebook","printed","radio","email","twitter","search","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,6,"youtube","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0,"printed","radio","email","twitter","printed","email","tv","tv","radio","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,"printed","radio","facebook","twitter","search","instagram","facebook","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2,"radio","instagram","printed","third-party","twitter","search","youtube","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3,"tv","tv","email","instagram","printed","instagram","email","search","printed","facebook","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,4,"tv","tv","search","radio","twitter","search","youtube","printed","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,5,"tv","tv","search","facebook","radio","email","search","youtube","instagram","email","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,6,"tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0,"printed","radio","email","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,"tv","tv","printed","email","search","youtube","printed","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2,"radio","instagram","instagram","email","instagram","email","youtube","tv","radio","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,3,"facebook","printed","twitter","search","youtube","printed","email","youtube","tv","radio","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,4,"instagram","facebook","printed","instagram","search","facebook","tv","search","printed","instagram","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,5,"search","instagram","search","tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0,"printed","instagram","email","twitter","youtube","instagram","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,"tv","tv","radio","instagram","email","search","printed","youtube","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2,"search","instagram","radio","email","twitter","search","printed","search","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,3,"instagram","search","youtube","instagram","search","youtube","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,4,"radio","radio","email","printed","email","youtube","tv","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,5,"instagram","facebook","radio","email","printed","search","youtube","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0,"radio","email","printed","search","tv","tv","search","facebook","printed","instagram","email","twitter","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA
24,1,"search","tv","tv","radio","facebook","radio","third-party","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2,"search","tv","tv","radio","facebook","instagram","third-party","search","youtube","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,3,"facebook","tv","search","instagram","radio","third-party","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,4,"search","tv","tv","email","facebook","instagram","facebook","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,5,"printed","search","youtube","tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0,"instagram","email","twitter","printed","search","tv","search","instagram","facebook","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,"facebook","search","printed","search","tv","radio","printed","email","twitter","instagram","email","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2,"tv","search","radio","third-party","twitter","search","printed","search","youtube","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,3,"search","printed","instagram","email","printed","search","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,4,"tv","radio","instagram","printed","instagram","email","printed","email","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,5,"tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0,"printed","email","twitter","search","youtube","instagram","search","tv","tv","radio","instagram","instagram","email","twitter","search","youtube","converted",NA,NA,NA,NA,NA,NA
26,1,"printed","email","tv","tv","search","printed","facebook","hoarding","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2,"youtube","tv","third-party","search","facebook","printed","radio","facebook","search","search","tv","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,3,"instagram","facebook","printed","instagram","email","twitter","search","printed","search","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,4,"search","facebook","printed","instagram","twitter","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,5,"youtube","tv","third-party",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0,"radio","facebook","twitter","search","instagram","search","youtube","tv","tv","search","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,"facebook","printed","radio","email","twitter","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2,"radio","instagram","instagram","facebook","search","instagram","search","tv","search","instagram","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,3,"instagram","email","search","youtube","search","third-party","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,4,"printed","instagram","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,5,"tv","instagram","email","search","youtube","youtube","tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0,"printed","instagram","email","search","youtube","instagram","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,"tv","twitter","radio","instagram","facebook","printed","instagram","facebook","youtube","instagram","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2,"youtube","tv","tv","search","instagram","printed","radio","third-party","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,3,"search","tv","tv","search","instagram","facebook","radio","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,4,"twitter","instagram","search","youtube","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,5,"email","instagram","third-party","twitter","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,6,"search","youtube","tv","twitter","radio","instagram","email","twitter","youtube","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,7,"tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0,"email","search","tv","twitter","search","instagram","printed","radio","third-party","twitter","search","youtube","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,"tv","tv","radio","instagram","facebook","radio","youtube","printed","tv","radio","radio","email","twitter","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA
29,2,"search","youtube","tv","instagram","radio","third-party","twitter","search","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
